equipo,arena,latitude,longitude,logo0,color,tm,local,visitor,latitude1,longitude1
Joventut Badalona,Palau Municipal D´Esports de Badalona,41.4426848150727,2.232038842544811,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,JOV,Joventut Badalona,Valencia Basket,39.45188248874301,-0.3660431016680829
Joventut Badalona,Palau Municipal D´Esports de Badalona,41.4426848150727,2.232038842544811,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,JOV,Joventut Badalona,Bàsquet Girona,41.99106442107368,2.8105742658463644
Joventut Badalona,Palau Municipal D´Esports de Badalona,41.4426848150727,2.232038842544811,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,JOV,Joventut Badalona,Real Madrid,40.4240337619823,-3.671751201650836
Joventut Badalona,Palau Municipal D´Esports de Badalona,41.4426848150727,2.232038842544811,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,JOV,Joventut Badalona,Cazoo Baskonia,42.86418354588555,-2.641617379517079
Joventut Badalona,Palau Municipal D´Esports de Badalona,41.4426848150727,2.232038842544811,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,JOV,Joventut Badalona,Monbus Obradoiro,42.87640091313994,-8.530649001605413
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Unicaja,36.68279217722466,-4.460469972879309
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Lenovo Tenerife,28.45934431808708,-16.296844528818482
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Real Madrid,40.4240337619823,-3.671751201650836
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Real Betis Baloncesto,37.396421763093244,-5.9648958606643605
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Bàsquet Girona,41.99106442107368,2.8105742658463644
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,UCAM Murcia,37.99401913800324,-1.1126044975056224
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Carplus Fuenlabrada,40.28271366483084,-3.800509143982543
